Date,FT,Season,Time,Transect,Plants,Plants_name,Plants' status,Pollinators,Scientific_name,Scientificn,Sub species,Insect order,PN,Activity,,,
20-04-2022,IDH,Pre-monsoon,10:21,11,Mikania micrantha,M. micrantha,Invasive,Jewel Five-Ring,Ypthima avanta,Y. avanta,,Lepidoptera,2,Nectaring,,,
20-04-2022,IDH,Pre-monsoon,10:25,11,Ageratum conyzoides,A. conyzoides,Invasive,Chocolate Tiger,Parantica melaneus,P. melaneus,,Lepidoptera,1,Nectaring,,,
20-04-2022,IDH,Pre-monsoon,11:00,12,Mikania micrantha,M. micrantha,Invasive,Punchinello,Zemeros flegyas,Z. flegyas,,Lepidoptera,1,Nectaring,,,
20-04-2022,IDH,Pre-monsoon,11:05,12,,,,One Spot Grass Yellow,Eurema andersonii,E. andersonii,,Lepidoptera,1,Basking,,,
20-04-2022,IDH,Pre-monsoon,11:11,12,,,,Chocolate Pansy,Junonia iphita,J. iphita,,Lepidoptera,1,Basking,,,
20-04-2022,IDH,Pre-monsoon,13:45,8,Mussaenda roxburghii,M. roxburghii,Native,Yellow Orange Tip,Ixias pyrene,I. pyrene,,Lepidoptera,1,Nectaring,,,
20-04-2022,IDH,Pre-monsoon,02:10,9,,,,Pale Wanderer,Pareronia avatar,P. avatar,,Lepidoptera,1,Basking,,,
20-04-2022,IDH,Pre-monsoon,02:10,9,,,,One Spot Grass Yellow,Eurema andersonii,E. andersonii,,Lepidoptera,1,Basking,,,
20-04-2022,IDH,Pre-monsoon,02:47,10,Mikania micrantha,M. micrantha,Invasive,Yellow Orange Tip,Ixias pyrene,I. pyrene,,Lepidoptera,1,Basking,,,
20-04-2022,IDH,Pre-monsoon,02:47,10,,,,Large Cabbage White,Pieris brassicae,P. brassicae,,Lepidoptera,1,Basking,,,
22-04-2022,IDH,Pre-monsoon,09:45,7,Citrus limon,C. limon,Native,Indian Red Admiral,Vanessa indica,V. indica,,Lepidoptera,2,Nectaring,,,
22-04-2022,IDH,Pre-monsoon,09:46,7,,,,Pea Blue,Lampides boeticus,L. boeticus,,Lepidoptera,1,Basking,,,
22-04-2022,IDH,Pre-monsoon,09:55,7,,,,Common Jester,Symbrenthia lilaea,S. lilaea,,Lepidoptera,1,Basking,,,
22-04-2022,IDH,Pre-monsoon,10:00,8,Bidens pilosa,B. pilosa,Invasive,Eristalis sp.,Eristalis sp.,Eristalis sp.,,Diptera,8,Nectaring,,,
22-04-2022,IDH,Pre-monsoon,10:15,8,Ageratum conyzoides,A. conyzoides,Invasive,Chestnut Tiger,Parantica sita,P. sita,,Lepidoptera,1,Nectaring,,,
22-04-2022,IDH,Pre-monsoon,10:20,8,Bidens pilosa,B. pilosa,Invasive,Common Grass Yellow,Eurema hecabe,E. hecabe,,Lepidoptera,1,Nectaring,,,
28-04-2022,PF,Pre-monsoon,09:54,11,Persicaria decipiens,P. decipiens,Native,Eristalis sp.,Eristalis sp.,Eristalis sp.,,Diptera,5,Nectaring,,,
28-04-2022,PF,Pre-monsoon,09:56,11,Persicaria decipiens,P. decipiens,Native,Pea Blue,Lampides boeticus,L. boeticus,,Lepidoptera,1,Nectaring,,,
28-04-2022,PF,Pre-monsoon,09:56,11,Persicaria decipiens,P. decipiens,Native,Apis dorsata,Apis dorsata,A. dorsata,,Hymenoptera,2,Nectaring,,,
28-04-2022,PF,Pre-monsoon,09:57,11,Persicaria decipiens,P. decipiens,Native,Eristalis sp.,Eristalis sp.,Eristalis sp.,,Diptera,3,Nectaring,,,
29-04-2022,IDH,Pre-monsoon,08:10,3,Persicaria chinensis,P. chinensis,Native,Common Gull,Cepora nerissa,C. nerissa,,Lepidoptera,1,Nectaring,,,
29-04-2022,IDH,Pre-monsoon,08:15,3,Chromolaena odorata,C. odorata,Invasive,Dark Blue Tiger,Tirumala septentrionis,T. septentrionis,,Lepidoptera,1,Basking,,,
29-04-2022,IDH,Pre-monsoon,08:15,3,Chromolaena odorata,C. odorata,Invasive,Redbreast,Papilio alcmenor,P. alcmenor,,Lepidoptera,2,Nectaring,,,
29-04-2022,IDH,Pre-monsoon,08:17,3,Oxalis corniculata,O. corniculata,Native,Pale Grass Blue,Pseudozizeeria maha,P. maha,,Lepidoptera,1,Nectaring,,,
29-04-2022,IDH,Pre-monsoon,08:21,3,Colocasia,Colocasia,Native,Common Bluebottle,Graphium sarpedon,G. sarpedon,,Lepidoptera,1,Basking,,,
29-04-2022,IDH,Pre-monsoon,08:27,3,Bidens pilosa,B. pilosa,Invasive,Apis cerana indica,Apis cerana indica,A. cerana,,Hymenoptera,2,Nectaring,,,
29-04-2022,IDH,Pre-monsoon,02:30,5,Ageratum conyzoides,A. conyzoides,Invasive,Dark Grass Blue,Zizeeria karsandra,Z. karsandra,,Lepidoptera,1,Nectaring,,,
29-04-2022,IDH,Pre-monsoon,02:30,5,Ageratum conyzoides,A. conyzoides,Invasive,Common Three Ring,Ypthima asterope,Y. asterope,,Lepidoptera,1,Basking,,,
01-05-2022,IDH,Pre-monsoon,07:34,1,Ageratum conyzoides,A. conyzoides,Invasive,Himalayan Yellow Coster,Acraea issoria,A. issoria,,Lepidoptera,1,Nectaring,,,
01-05-2022,IDH,Pre-monsoon,07:39,1,Persicaria nepalensis,P. nepalensis,Native,Episyrphus sp.,Episyrphus sp.,Episyrphus sp.,,Diptera,5,Nectaring,,,
01-05-2022,IDH,Pre-monsoon,07:55,1,Pan Leaves,P. Leaves,Native,Spotted Snow Flat,Tagiades menaka,T. menaka,,Lepidoptera,1,Basking,,,
01-05-2022,IDH,Pre-monsoon,08:00,2,Persicaria nepalensis,P. nepalensis,Native,Indian Cabbage White,Pieris canidia,P. canidia,,Lepidoptera,1,Nectaring,,,
01-05-2022,IDH,Pre-monsoon,08:13,2,Ageratum conyzoides,A. conyzoides,Invasive,Striped Blue Crow,Euploea mulciber,E. mulciber,,Lepidoptera,1,Nectaring,,,
01-05-2022,IDH,Pre-monsoon,08:26,2,Ageratum conyzoides,A. conyzoides,Invasive,Episyrphus sp.,Episyrphus sp.,Episyrphus sp.,,Diptera,4,Hovering,,,
01-05-2022,IDH,Pre-monsoon,08:38,2,Bidens pilosa,B. pilosa,Invasive,Pale Grass Blue,Pseudozizeeria maha,P. maha,,Lepidoptera,1,Nectaring,,,
01-05-2022,IDH,Pre-monsoon,08:40,3,Bidens pilosa,B. pilosa,Invasive,Pea Blue,Lampides boeticus,L. boeticus,,Lepidoptera,1,Nectaring,,,
01-05-2022,IDH,Pre-monsoon,08:45,3,,,,Pea Blue,Lampides boeticus,L. boeticus,,Lepidoptera,1,Sitting,,,
01-05-2022,IDH,Pre-monsoon,08:50,4,Bidens pilosa,B. pilosa,Invasive,Apis cerana indica,Apis cerana indica,A. cerana,,Hymenoptera,1,Nectaring,,,
01-05-2022,IDH,Pre-monsoon,08:56,4,Bidens pilosa,B. pilosa,Invasive,Common Gull,Cepora nerissa,C. nerissa,,Lepidoptera,1,Nectaring,,,
01-05-2022,IDH,Pre-monsoon,09:01,4,Dioscorea deltoidea,D. deltoidea,Native,Yellow Orange Tip,Ixias pyrene,I. pyrene,,Lepidoptera,1,Basking,,,
01-05-2022,IDH,Pre-monsoon,02:13,5,Persicaria decipiens,P. decipiens,Native,Khaki Silverline,Cigaritis rukmini,C. rukmini,,Lepidoptera,2,Nectaring,,,
01-05-2022,IDH,Pre-monsoon,02:20,5,Persicaria decipiens,P. decipiens,Native,Eristalis sp.,Eristalis sp.,Eristalis sp.,,Diptera,6,Nectaring,,,
01-05-2022,IDH,Pre-monsoon,02:45,7,Bidens pilosa,B. pilosa,Invasive,Eristalis sp.,Eristalis sp.,Eristalis sp.,,Diptera,5,Nectaring,,,
01-05-2022,IDH,Pre-monsoon,03:00,7,Ageratum conyzoides,A. conyzoides,Invasive,Apis cerana indica,Apis cerana indica,A. cerana,,Hymenoptera,2,Nectaring,,,
06-05-2022,IDH,Pre-monsoon,07:50,9,Persicaria chinensis,P. chinensis,Native,Episyrphus sp.,Episyrphus sp.,Episyrphus sp.,,Diptera,3,Nectaring,,,
06-05-2022,IDH,Pre-monsoon,07:52,9,Ageratum conyzoides,A. conyzoides,Invasive,Episyrphus sp.,Episyrphus sp.,Episyrphus sp.,,Diptera,4,Hovering,,,
06-05-2022,IDH,Pre-monsoon,07:55,9,Citrus limon,C. limon,Native,Bombus sp.,Bombus sp.,Bombus sp.,,Hymenoptera,2,Nectaring,,,
06-05-2022,IDH,Pre-monsoon,08:02,9,Persicaria decipiens,P. decipiens,Native,Episyrphus sp.,Episyrphus sp.,Episyrphus sp.,,Diptera,4,Nectaring,,,
06-05-2022,IDH,Pre-monsoon,08:15,7,Persicaria decipiens,P. decipiens,Native,Episyrphus sp.,Episyrphus sp.,Episyrphus sp.,,Diptera,7,Nectaring,,,
06-05-2022,IDH,Pre-monsoon,08:30,7,Citrus limon,C. limon,Native,Apis dorsata,Apis dorsata,A. dorsata,,Hymenoptera,2,Nectaring,,,
06-05-2022,IDH,Pre-monsoon,08:30,7,Citrus limon,C. limon,Native,Bombus sp.,Bombus sp.,Bombus sp.,,Hymenoptera,3,Nectaring,,,
06-05-2022,IDH,Pre-monsoon,08:35,7,Ageratum conyzoides,A. conyzoides,Invasive,Common Five Ring,Ypthima baldus,Y. baldus,,Lepidoptera,1,Nectaring,,,
06-05-2022,IDH,Pre-monsoon,08:39,7,Bidens pilosa,B. pilosa,Invasive,Blue King Crow,Euploea klugii,E. klugii,Euploea klugii klugii,Lepidoptera,1,Nectaring,,,
06-05-2022,IDH,Pre-monsoon,08:52,6,Ageratum conyzoides,A. conyzoides,Invasive,Himalayan Yellow Coster,Acraea issoria,A. issoria,,Lepidoptera,1,Nectaring,,,
06-05-2022,IDH,Pre-monsoon,08:56,6,Ageratum conyzoides,A. conyzoides,Invasive,One Spot Grass Yellow,Eurema andersonii,E. andersonii,,Lepidoptera,1,Nectaring,,,
06-05-2022,IDH,Pre-monsoon,09:10,6,Bidens pilosa,B. pilosa,Invasive,Lesser Grass Blue,Zizina otis,Z. otis,,Lepidoptera,1,Nectaring,,,
06-05-2022,IDH,Pre-monsoon,09:23,4,Oxalis corniculata,O. corniculata,Native,Eristalis sp.,Eristalis sp.,Eristalis sp.,,Diptera,4,Nectaring,,,
06-05-2022,IDH,Pre-monsoon,09:26,4,Oxalis debilis,O. debilis,Native,Episyrphus sp.,Episyrphus sp.,Episyrphus sp.,,Diptera,1,Hovering,,,
06-05-2022,IDH,Pre-monsoon,09:32,4,Ageratum conyzoides,A. conyzoides,Invasive,Striped Blue Crow,Euploea mulciber,E. mulciber,,Lepidoptera,1,Basking,,,
06-05-2022,IDH,Pre-monsoon,09:35,4,Ageratum conyzoides,A. conyzoides,Invasive,Episyrphus sp.,Episyrphus sp.,Episyrphus sp.,,Diptera,3,Hovering,,,
07-05-2022,IDH,Pre-monsoon,03:25,2,Persicaria capitata,P. capitata,Native,Eristalis sp.,Eristalis sp.,Eristalis sp.,,Diptera,2,Nectaring,,,
07-05-2022,IDH,Pre-monsoon,03:30,2,Bidens pilosa,B. pilosa,Invasive,Indian Cabbage White,Pieris canidia,P. canidia,,Lepidoptera,1,Nectaring,,,
07-05-2022,IDH,Pre-monsoon,03:50,2,Ageratum conyzoides,A. conyzoides,Invasive,Chocolate Tiger,Parantica melaneus,P. melaneus,,Lepidoptera,1,Nectaring,,,
07-05-2022,IDH,Pre-monsoon,04:02,2,Oxalis debilis,O. debilis,Native,Eristalis sp.,Eristalis sp.,Eristalis sp.,,Diptera,3,Hovering,,,
07-05-2022,IDH,Pre-monsoon,04:05,2,Ageratum conyzoides,A. conyzoides,Invasive,Chocolate Pansy,Junonia iphita,J. iphita,,Lepidoptera,1,Nectaring,,,
07-05-2022,IDH,Pre-monsoon,04:10,1,Chromolaena odorata,C. odorata,Invasive,Lesser Grass Blue,Zizina otis,Z. otis,,Lepidoptera,1,Basking,,,
07-05-2022,IDH,Pre-monsoon,04:11,1,Colocasia,C. ,Native,Common Sailer,Neptis hylas,N. hylas,,Lepidoptera,1,Basking,,,
10-05-2022,IDH,Pre-monsoon,09:30,4,Citrus limon,C. limon,Native,Episyrphus sp.,Episyrphus sp.,Episyrphus sp.,,Diptera,4,Nectaring,,,
10-05-2022,IDH,Pre-monsoon,09:53,4,Bidens pilosa,B. pilosa,Invasive,Common Three Ring,Ypthima asterope,Y. asterope,,Lepidoptera,1,Nectaring,,,
10-05-2022,IDH,Pre-monsoon,10:05,9,Bidens pilosa,B. pilosa,Invasive,Common Gull,Cepora nerissa,C. nerissa,,Lepidoptera,1,Nectaring,,,
10-05-2022,IDH,Pre-monsoon,10:23,9,Ageratum conyzoides,A. conyzoides,Invasive,Betasyrphus sp.,Betasyrphus sp.,Betasyrphus sp.,,Diptera,4,Nectaring,,,
10-05-2022,IDH,Pre-monsoon,10:23,9,Ageratum conyzoides,A. conyzoides,Invasive,Eristalis sp.,Eristalis sp.,Eristalis sp.,,Diptera,2,Nectaring,,,
10-05-2022,IDH,Pre-monsoon,10:31,9,Bidens pilosa,B. pilosa,Invasive,Eristalis sp.,Eristalis sp.,Eristalis sp.,,Diptera,1,Nectaring,,,
10-05-2022,IDH,Pre-monsoon,10:50,9,Persicaria decipiens,P. decipiens,Native,Episyrphus sp.,Episyrphus sp.,Episyrphus sp.,,Diptera,6,Nectaring,,,
10-05-2022,IDH,Pre-monsoon,11:03,8,Citrus limon,C. limon,Native,Apis cerana indica,Apis cerana indica,A. cerana,,Hymenoptera,2,Nectaring,,,
10-05-2022,IDH,Pre-monsoon,11:16,8,Persicaria decipiens,P. decipiens,Native,Episyrphus sp.,Episyrphus sp.,Episyrphus sp.,,Diptera,8,Nectaring,,,
11-05-2022,PF,Pre-monsoon,08:30,13,Colocasia,C. ,Native,Scarce Jester,Symbrenthia silana,S. silana,,Lepidoptera,1,Sitting,,,
11-05-2022,PF,Pre-monsoon,08:38,13,,,,Large Yeoman,Cirrochroa aoris,C. aoris,,Lepidoptera,1,Basking,,,
11-05-2022,PF,Pre-monsoon,08:56,13,,,,Striped Ringlet,Ragadia crisilda,R. crisilda,,Lepidoptera,1,Basking,,,
02-09-2022,IDH,Post-monsoon,07:30,1,Ageratum conyzoides,A. conyzoides,Invasive,Red Helen,Papilio helenus,P. helenus,,Lepidoptera,2,Nectaring,,,
02-09-2022,IDH,Post-monsoon,07:30,1,Ageratum conyzoides,A. conyzoides,Invasive,Glassy Tiger,Parantica aglea,P. aglea,,Lepidoptera,1,Nectaring,,,
02-09-2022,IDH,Post-monsoon,07:30,1,,,,Yellow Helen,Papilio nephelus,P. nephelus,,Lepidoptera,2,Flying,,,
02-09-2022,IDH,Post-monsoon,07:30,1,Ageratum conyzoides,A. conyzoides,Invasive,Large Yeoman,Cirrochroa aoris,C. aoris,,Lepidoptera,5,Nectaring,,,
02-09-2022,IDH,Post-monsoon,07:30,1,Impatiens glandulifera,I. glandulifera,Native,Bombus sp.,Bombus sp.,Bombus sp.,,Hymenoptera,3,Nectaring,,,
02-09-2022,IDH,Post-monsoon,07:30,1,Osbeckia crinita,O. crinita,Native,Eristalis sp.,Eristalis sp.,Eristalis sp.,,Diptera,5,Nectaring,,,
02-09-2022,IDH,Post-monsoon,07:50,3,Osbeckia crinita,O. crinita,Native,Himalayan Purple Sapphire,Heliophorus epicles,H. epicles,,Lepidoptera,1,Nectaring,,,
02-09-2022,IDH,Post-monsoon,07:50,3,Ageratum conyzoides,A. conyzoides,Invasive,Striped Blue Crow,Euploea mulciber,E. mulciber,,Lepidoptera,1,Nectaring,,,
02-09-2022,IDH,Post-monsoon,07:50,3,Osbeckia crinita,O. crinita,Native,Xylocopa sp.,Xylopa sp.,Xylopa sp.,,Hymenoptera,1,Nectaring,,,
02-09-2022,IDH,Post-monsoon,07:50,3,Clerodendrum colebrookianum,C. colebrookianum,Native,Common Bluebottle,Graphium sarpedon,G. sarpedon,,Lepidoptera,1,Nectaring,,,
02-09-2022,IDH,Post-monsoon,08:15,2,Osbeckia crinita,O. crinita,Native,Bombus sp.,Bombus sp.,Bombus sp.,,Hymenoptera,2,Nectaring,,,
02-09-2022,IDH,Post-monsoon,08:15,2,Ageratum conyzoides,A. conyzoides,Invasive,Bombus sp.,Bombus sp.,Bombus sp.,,Hymenoptera,1,Nectaring,,,
02-09-2022,IDH,Post-monsoon,08:15,2,,,,Himalayan Purple Sapphire,Heliophorus epicles,H. epicles,,Lepidoptera,1,Flying,,,
02-09-2022,IDH,Post-monsoon,08:15,2,,,,Great Orange Tip,Hebomoia glaucippe,H. glaucippe,,Lepidoptera,1,Flying,,,
02-09-2022,IDH,Post-monsoon,08:15,2,Ageratum conyzoides,A. conyzoides,Invasive,Blue Tiger,Tirumala limniace,T. limniace,,Lepidoptera,1,Nectaring,,,
02-09-2022,IDH,Post-monsoon,08:15,5,Ageratum conyzoides,A. conyzoides,Invasive,Glassy Tiger,Parantica aglea,P. aglea,,Lepidoptera,1,Nectaring,,,
02-09-2022,IDH,Post-monsoon,08:15,5,Impatiens glandulifera,I. glandulifera,Native,Pale Wanderer,Pareronia avatar,P. avatar,,Lepidoptera,1,Nectaring,,,
02-09-2022,IDH,Post-monsoon,08:15,5,Ageratum conyzoides,A. conyzoides,Invasive,Striped Blue Crow,Euploea mulciber,E. mulciber,,Lepidoptera,1,Nectaring,,,
02-09-2022,IDH,Post-monsoon,08:15,5,Ageratum conyzoides,A. conyzoides,Invasive,Great Mormon,Papilio memnon,P. memnon,,Lepidoptera,1,Basking,,,
02-09-2022,IDH,Post-monsoon,09:00,2,,,,Common Raven,Papilio castor,P. castor,,Lepidoptera,1,Basking,,,
02-09-2022,IDH,Post-monsoon,09:00,2,Ageratum conyzoides,A. conyzoides,Invasive,Punchinello,Zemeros flegyas,Z. flegyas,,Lepidoptera,1,Nectaring,,,
02-09-2022,IDH,Post-monsoon,09:00,2,Ageratum conyzoides,A. conyzoides,Invasive,Large Yeoman,Cirrochroa aoris,C. aoris,,Lepidoptera,1,Basking,,,
02-09-2022,IDH,Post-monsoon,09:00,2,,,,Autumn Leaf,Doleschallia bisaltide,D. bisaltide,,Lepidoptera,1,Basking,,,
02-09-2022,IDH,Post-monsoon,09:00,2,Impatiens glandulifera,I. glandulifera,Native,Red Helen,Papilio helenus,P. helenus,,Lepidoptera,1,Nectaring,,,
04-09-2022,IDH,Post-monsoon,09:00,2,Impatiens glandulifera,I. glandulifera,Native,Yellow Helen,Papilio nephelus,P. nephelus,,Lepidoptera,1,Nectaring,,,
04-09-2022,IDH,Post-monsoon,09:30,4,Crassocephalum crepidioides,C. crepidioides,Invasive,Red Helen,Papilio helenus,P. helenus,,Lepidoptera,1,Nectaring,,,
04-09-2022,IDH,Post-monsoon,09:30,4,Ageratum conyzoides,A. conyzoides,Invasive,Large Yeoman,Cirrochroa aoris,C. aoris,,Lepidoptera,1,Nectaring,,,
04-09-2022,IDH,Post-monsoon,09:30,4,Bidens pilosa,B. pilosa,Invasive,Common Grass Yellow,Eurema hecabe,E. hecabe,,Lepidoptera,1,Nectaring,,,
04-09-2022,IDH,Post-monsoon,10:00,3,,,,Pale Wanderer,Pareronia avatar,P. avatar,,Lepidoptera,2,Basking,,,
04-09-2022,IDH,Post-monsoon,10:00,3,Impatiens glandulifera,I. glandulifera,Native,Pale Wanderer,Pareronia avatar,P. avatar,,Lepidoptera,2,Nectaring,,,
04-09-2022,IDH,Post-monsoon,10:00,3,Ageratum conyzoides,A. conyzoides,Invasive,Branded Straw Ace,Pithauria marsena,P. marsena,,Lepidoptera,1,Nectaring,,,
04-09-2022,IDH,Post-monsoon,10:30,3,Ageratum conyzoides,A. conyzoides,Invasive,Glassy Tiger,Parantica aglea,P. aglea,,Lepidoptera,1,Nectaring,,,
04-09-2022,IDH,Post-monsoon,10:30,3,Persicaria capitata,P. capitata,Native,Lesser Grass Blue,Zizina otis,Z. otis,,Lepidoptera,1,Nectaring,,,
04-09-2022,IDH,Post-monsoon,10:30,3,Leaves,L. ,,Red Lacewing,Cethosia biblis,C. biblis,,Lepidoptera,1,Basking,,,
06-09-2022,IDH,Post-monsoon,11:00,5,Ageratum conyzoides,A. conyzoides,Invasive,Red Lacewing,Cethosia biblis,C. biblis,,Lepidoptera,1,Nectaring,,,
06-09-2022,IDH,Post-monsoon,11:00,5,Ageratum conyzoides,A. conyzoides,Invasive,Common Grass Yellow,Eurema hecabe,E. hecabe,,Lepidoptera,1,Nectaring,,,
06-09-2022,IDH,Post-monsoon,11:00,5,Leaves,L. ,,Common Five Ring,Ypthima baldus,Y. baldus,,Lepidoptera,1,Basking,,,
06-09-2022,IDH,Post-monsoon,11:00,5,Clerodendrum colebrookianum,C. colebrookianum,Native,Common Yeoman,Cirrochroa tyche,C. tyche,,Lepidoptera,1,Nectaring,,,
06-09-2022,IDH,Post-monsoon,11:00,5,Ageratum conyzoides,A. conyzoides,Invasive,Yellow Orange Tip,Ixias pyrene,I. pyrene,,Lepidoptera,2,Nectaring,,,
06-09-2022,IDH,Post-monsoon,11:00,3,Impatiens glandulifera,I. glandulifera,Native,Bombus sp.,Bombus sp.,Bombus sp.,,Hymenoptera,4,Nectaring,,,
06-09-2022,IDH,Post-monsoon,11:00,3,Impatiens glandulifera,I. glandulifera,Native,Yellow Helen,Papilio nephelus,P. nephelus,,Lepidoptera,1,Nectaring,,,
06-09-2022,IDH,Post-monsoon,11:00,3,Impatiens glandulifera,I. glandulifera,Native,Red Helen,Papilio helenus,P. helenus,,Lepidoptera,2,Nectaring,,,
06-09-2022,IDH,Post-monsoon,11:00,3,Impatiens glandulifera,I. glandulifera,Native,Common Raven,Papilio castor,P. castor,,Lepidoptera,1,Nectaring,,,
06-09-2022,IDH,Post-monsoon,11:00,2,Osbeckia crinita,O. crinita,Native,Amegilla calceifera,Amegilla calceifera,A. calceifera,,Hymenoptera,2,Nectaring,,,
06-09-2022,IDH,Post-monsoon,11:00,2,Osbeckia crinita,O. crinita,Native,Small Branded Swift,Pelopidas mathias,P. mathias,,Lepidoptera,1,Nectaring,,,
06-09-2022,IDH,Post-monsoon,11:00,2,Bidens pilosa,B. pilosa,Invasive,Common Yeoman,Cirrochroa tyche,C. tyche,,Lepidoptera,1,Nectaring,,,
06-09-2022,IDH,Post-monsoon,11:00,2,Achyrospermum wallichianum,A. wallichianum,Native,Small Grass Yellow,Eurema brigitta,E. brigitta,,Lepidoptera,1,Nectaring,,,
07-09-2022,IDH,Post-monsoon,08:40,1,,,,Yellow Helen,Papilio nephelus,P. nephelus,,Lepidoptera,1,Flying,,,
07-09-2022,IDH,Post-monsoon,08:40,1,Achyrospermum wallichianum,A. wallichianum,Native,Amegilla calceifera,Amegilla calceifera,A. calceifera,,Hymenoptera,1,Nectaring,,,
07-09-2022,IDH,Post-monsoon,08:40,1,Impatiens glandulifera,I. glandulifera,Native,Pale Wanderer,Pareronia avatar,P. avatar,,Lepidoptera,1,Nectaring,,,
